FID,CLASS,ROUTE_NO,SEG_NO,NAME,DATA_SRC,DESIG,EDITDATE,STATUS,STATCODE,DESC_SEG,,,,,TRAILROUTE,SUBDIST,Meters,Miles,Publish,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,DISTRIBUTE,RESTRICTION,UNITCODE,UNITNAME,GROUPCODE,REGIONCODE,ISEXTANT,CREATEDATE,CREATEUSER,EDITUSER,MAPMETHOD,MAPSOURCE,SRCESCALE,SOURCEDATE,XYERROR,LOCATIONID,FEATUREID,GEOMETRYID,NOTES,INPLACES,PLACESID,GlobalID,SHAPE_Length
11,1,87,3,Two Medicine Pass,Trimble Pro XRS, ,20050908,dGPS,PCT,Two Medicine Pass Tr Jct,Cobalt Lake CG,,,,T-087,Walton-Two Medicine,126,0.08,Yes,Two Medicine Pass,,Two Medicine Pass,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46394,,{F7E93D75-85E3-4079-AC95-03C795B52C19},,Yes,,{4C085A05-51E8-4D86-BA8F-92F69C203F21},0.001354696
12,1,87,4,Two Medicine Pass,Trimble Pro XRS, ,20050908,dGPS,TMP,Rockwell Falls,Two Medicine South Shore Tr,,,,T-087,Walton-Two Medicine,1443,0.9,Yes,Two Medicine Pass,,Two Medicine Pass,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46394,,{4DBE24DA-0529-41B3-B1B9-0351119764C5},,Yes,,{7C8B2030-A77B-4A19-BF9F-4950CDE98461},0.014941606
13,1,62,2,Granite Park,Trimble GeoXT, ,20050906,dGPS,GPT,Loop Spur Tr (Going to Sun Rd),,,,,T-062,Lake McDonald,889,0.55,Yes,Granite Park,,Granite Park,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble GeoXT,,,,46185,,{6C4FC2A9-D755-4704-9BEC-219A361FF2BF},,Yes,,{A0CE0D83-C8A4-4A73-A27E-F7388ED5DCAE},0.010772563
14,1,62,3,Granite Park,Trimble GeoXT, ,20050906,dGPS,GPT,Loop Spur Jct,Highline Tr Jct,,,,T-062,Lake McDonald,5617,3.49,Yes,Granite Park,,Granite Park,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble GeoXT,,,,46185,,{2D1B81B5-CC9B-459C-B542-C8ED7B884E34},,Yes,,{5AAB3D19-6D81-4E52-A16F-60F4A88AF08A},0.065930539
15,2,19,1,Quartz Ridge,Trimble Pro XRS, ,20050821,dGPS,HMT,North Fork Rd,Hidden Meadow,,,,T-019,North Fork,2439,1.52,Yes,Quartz Ridge,,Quartz Ridge,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Low Use / Low level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,44908,,{5E3581EB-EE16-41E4-B2F2-5EBD3151A85D},,Yes,,{378541FD-EFE9-469F-8A67-0529075603D4},0.027893068
16,1,148,2,Belly River,Trimble Pro XRS,Continental Divide Trail - alternate route,20050815,dGPS,BRT,North Fork Belly River Tr Jct,Belly River RS,,,,T-148,Chief Mountain,5277,3.28,Yes,Belly River,,Belly River,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46576,,{114D513F-2DD3-43CB-902A-BBC31CF56A07},Continental Divide Trail - alternate route,Yes,,{61BB35D5-1897-4F21-85EF-54A880A3BC00},0.056815607
17,1,148,1,Belly River,Trimble GeoXT,Continental Divide Trail - alternate route,20111006,dGPS,BRT,Trailhead,N Fork Belly River Tr Jct,,,,T-148,Chief Mountain,4474,2.78,Yes,Belly River,,Belly River,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble GeoXT,,,,46576,,{E41A643A-3657-46FE-A35A-AE8FFEAD3DE7},Continental Divide Trail - alternate route,Yes,,{5C897B83-4CED-4F81-B0DC-2B737A949A17},0.04614195
18,2,149,1,Gable Pass,Trimble Pro XRS, ,20050815,dGPS,BRLT,Belly River RS,Lee Ridge Tr Jct,,,,T-149,Chief Mountain,6129,3.81,Yes,Gable Pass,,Gable Pass,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Low Use / Low level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46577,,{745B358F-21EA-43C4-9E08-6D4A8631953D},,Yes,,{E419F47B-023A-4844-832A-731DD591C48A},0.075436442
19,2,146,1,Lee Ridge,Trimble Pro XRS, ,20050815,dGPS,BRLT,Chief Mountain Rd,Gable Pass,,,,T-146,Chief Mountain,9497,5.9,Yes,Lee Ridge,,Lee Ridge,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Low Use / Low level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46574,,{8BC2D618-8990-4D0C-9859-8A450FE43304},,Yes,,{D2299F3A-F0D3-4256-9AE7-BD37AA3D7358},0.094618938
20,2,149,2,Gable Pass,Trimble Pro XRS, ,20050815,dGPS,SLTM,Lee Ridge Tr Jct,Otatso Creek Tr Jct,,,,T-149,Chief Mountain,2954,1.84,Yes,Gable Pass,,Gable Pass,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Low Use / Low level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46577,,{8FEE9C01-C0C3-46FA-8381-E63475B9CF51},,Yes,,{1BCA2873-36F0-4263-83CF-CC60E9432FB8},0.034380364
21,1,269,1,Rising Sun,Trimble Pro XRS, ,20050729,dGPS, ,Picnic Area,Boat Dock Parking Lot,,,,T-269,Saint Mary,618,0.38,Yes,Rising Sun,,Rising Sun,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46656,,{775E7582-88F2-44FB-A670-0D7CC49A875F},,Yes,,{37D95E63-657B-4922-8F57-EF2291E03F2E},0.007744613
22,1,113,3,Piegan Pass,Trimble Pro XRS,Continental Divide Trail,20050729,dGPS,PPTM,St Mary Lake Tr Jct,Gunsight Pass Tr Jct,,,,T-113,Saint Mary,2066,1.28,Yes,Piegan Pass,,Piegan Pass,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46416,,{7F275C89-F6DE-4B89-8851-2EADF6FC2CAB},Continental Divide Trail,Yes,,{FE99FF1D-806D-4ACF-BF7B-7042E8710A80},0.02573964
23,1,60,1,Avalanche Lake,Trimble Pro XRS, ,20050707,dGPS,ALTM,Trail of the Cedars Loop Jct,Foot Avalanche L,,,,T-060,Lake McDonald,3025,1.88,Yes,Avalanche Lake,,Avalanche Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46182,,{4968EFB5-3068-43A6-A29B-6647EFA532BF},,Yes,,{D37F29BF-09E4-40BD-AE55-E876DA67C972},0.033990887
24,1,170,1,Grinnell Glacier,2009 Border Imagery, ,20110908,Imagery,GGT,North Shore Josephine Tr Jct,Josephine Walk Tr Jct,,,,T-170,Chief Mountain,497,0.31,Yes,Grinnell Glacier,,Grinnell Glacier,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,2009 Border Imagery,,,,46599,,{5B1C51EC-6E1B-4209-B917-535249B778B8},,Yes,,{5D160110-2D0D-472F-9DF2-74FB45833755},0.005627816
25,1,165,1,Cracker Lake,Trimble Pro XRS, ,20050628,dGPS, ,Many Glacier Hotel,Cracker Lake Trailhead,,,,T-165,Chief Mountain,190,0.12,Yes,Cracker Lake,,Cracker Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46591,,{252A3B08-5849-425D-BC48-A46707E7DFD4},,Yes,,{8195D422-A2F6-4244-A309-A7A5D38BB885},0.00206159
26,1,174,2,Josephine Walk,Trimble Pro XRS, ,20050628,dGPS,JGLT,Spur Trail,Oaster Shelter,,,,T-174,Chief Mountain,74,0.05,Yes,Josephine Walk,,Josephine Walk,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46604,,{2CC4A43D-E3D2-4C50-AE5D-B66301F875B3},,Yes,,{4AF383D6-CE38-403C-887B-78B9A56089A7},0.000773563
27,1,174,1,Josephine Walk,Trimble Pro XRS, ,20050628,dGPS,JGLT,Piegan Pass Tr,Grinnell Glacier Tr,,,,T-174,Chief Mountain,1170,0.73,Yes,Josephine Walk,,Josephine Walk,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46604,,{E81C1E66-8D6A-4E8F-8267-A62E3FEFEEFC},,Yes,,{2D0BD3F3-77BB-4678-8652-A6B3A1679365},0.012960587
28,1,113,10,Piegan Pass,Trimble Pro XRS,Continental Divide Trail,20050628,dGPS,SRCT,Fleather Plume Cutoff Tr Jct,Josephine Walk Tr Jct,,,,T-113,Chief Mountain,2897,1.8,Yes,Piegan Pass,,Piegan Pass,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46416,,{311DA641-F97F-41D0-AAA2-101A1D26F275},Continental Divide Trail,Yes,,{112E1A55-F1B6-43E0-BD01-8C6BECFECAA7},0.031216759
29,1,172,1,Feather Plume Cutoff,Trimble Pro XRS, ,20050628,dGPS,FPFC,Piegan Pass Tr,Grinnell L,,,,T-172,Chief Mountain,1877,1.17,Yes,Feather Plume Cutoff,,Feather Plume Cutoff,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46602,,{13778F74-C0A0-4ECA-99E7-97AB54390841},,Yes,,{ED05412D-1F80-43A2-B478-F2E78A989104},0.018967813
30,1,183,1,Hidden Falls,Trimble Pro XRS, ,20050628,dGPS,JGLT,Grinnell Lake Foot Tr,Hidden Falls,,,,T-183,Chief Mountain,25,0.02,Yes,Hidden Falls,,Hidden Falls,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46608,,{D82B65D6-5B66-4A10-ADE3-292D7C9FA736},,Yes,,{0204972C-C14A-45F7-A5E8-B0C856DAC2F6},0.000313424
31,1,175,1,Grinnell Lake Foot,Trimble Pro XRS, ,20050628,dGPS,JGLT,Josephine Walk Tr,Grinnell L,,,,T-175,Chief Mountain,1819,1.13,Yes,Grinnell Lake Foot,,Grinnell Lake Foot,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46605,,{99DECF16-7D99-4C2C-98DB-ABCB1A302327},,Yes,,{030EEAEF-A853-437F-9240-A67CA569D97B},0.021401539
32,1,171,2,South Shore Josephine Lake,Trimble Pro XRS, ,20050628,dGPS,JGLT,Piegan Pass Cutoff,Oastler Shelter,,,,T-171,Chief Mountain,1757,1.09,Yes,South Shore Josephine Lake,,South Shore Josephine Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46600,,{672A74C6-BDBE-4FDB-8459-0E21A2289D36},,Yes,,{463FD42A-3B84-4567-8D02-E148C36F24A1},0.020268167
33,1,167,1,Swiftcurrent Lake,Trimble Pro XRS, ,20050628,dGPS,SLNT,Many Glacier Hotel,Head Swiftcurrent L (south),,,,T-167,Chief Mountain,1196,0.74,Yes,Swiftcurrent Lake,,Swiftcurrent Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46594,,{2A40EE6E-7B2C-4760-9C38-41B6D686DFE2},,Yes,,{A1089CA2-38A4-42E8-9F54-6821ECDC3785},0.013175991
34,3,274,1,McDonald RS Horse,Trimble GeoXT, ,20050621,dGPS,MVT,McDonald Cr Tr,Horse Barn,,,,T-274,Lake McDonald,531,0.33,Yes,McDonald RS Horse,,McDonald RS Horse,Park Trail,Existing,Earth,Standard Terra Trail,Class 2: Minor Development,Very Low Use / Low level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble GeoXT,,,,46661,,{A2F16950-F1D6-4D99-9C01-A8FB66A555F2},,Yes,,{9ED8C27A-F3FD-49C2-BD02-04AAAA9E60B2},0.006904246
35,1,93,1,Autumn Creek,Trimble Pro XRS, ,20050530,dGPS,SACT,BN Railroad Tracks,Summit Tr Jct,,,,T-093,Walton-Two Medicine,7462,4.64,Yes,Autumn Creek,,Autumn Creek,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46400,,{5F60CCB8-68DE-4487-AB47-2D549CF8B3A0},,Yes,,{D2948D81-4766-44E3-909E-3F43DEACE03E},0.085570577
36,2,93,2,Autumn Creek,Trimble Pro XRS,Continental Divide Trail,20050530,dGPS,SACT,Summit Tr Jct,Firebrand Pass Tr Jct S,,,,T-093,Walton-Two Medicine,9613,5.97,Yes,Autumn Creek,,Autumn Creek,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Low Use / Low level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46400,,{0EAAF40A-AA65-44D1-B42C-6A39211DCFD0},Continental Divide Trail,Yes,,{E788F06D-CD69-4ACF-974B-6CA926C29D06},0.108608417
37,1,20,4,Logging Lake,Trimble GeoXT, ,20120917,dGPS,LLT,Adair CG,Head Logging Lake Patrol Cabin,,,,T-020,North Fork,2617,1.63,Yes,Logging Lake,,Logging Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble GeoXT,,,,44910,,{DC7BFBD6-4B57-4FE3-BF2C-0B59E8648249},,Yes,,{ABBD4C41-85F8-4268-8241-1F30C51299AF},0.032278782
38,1,20,5,Logging Lake,Trimble GeoXT, ,20120913,dGPS,LLT,Head Logging Lake Patrol Cabin,Grace L,,,,T-020,North Fork,2262,1.41,Yes,Logging Lake,,Logging Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble GeoXT,,,,44910,,{8779DB8F-0FF3-44FB-861E-E457330B6FA3},,Yes,,{03069104-675E-4ED0-8F18-41FD7178D9FB},0.026428501
39,3,34,2,Dutch Creek,Garmin GPS, ,20120409,Garmin,DLT,Old West Lakes Tr Jct,Dutch L,,,,T-034,Lake McDonald,10199,6.34,Yes,Dutch Creek,,Dutch Creek,Park Trail,Existing,Earth,Standard Terra Trail,Class 2: Minor Development,Very Low Use / Low level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Garmin GPS,,,,44917,,{618CE594-F71B-4CCB-9C1A-6EADCA820F56},,Yes,,{0196989C-6D36-4D3E-8F91-55D9C8EA9210},0.124406616
40,1,40,4,West Lakes,2009 Border Imagery, ,20120404,Imagery,TLT,Arrow Lake CG,Camas Lake CG,,,,T-040,Lake McDonald,5373,3.34,Yes,West Lakes,,West Lakes,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,2009 Border Imagery,,,,0,,{579F840B-C4BA-448D-8114-7990CACFEFDC},,Yes,,{30BCE43E-5D04-44E7-AF14-E2163CE70445},0.05787124
41,1,51,2,Sperry Galcier,Garmin GPS, ,20121004,Digitized, ,Headwall,Sperry Glacier,,,,T-051,Lake McDonald,776,0.48,Yes,Sperry Galcier,,Sperry Galcier,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Garmin GPS,,,,45421,,{7784A447-3B47-4D90-A94B-259B20F3289D},,Yes,,{56E07142-C39A-41F8-BE5F-0CAC9B8805FD},0.009415593
42,1,56,4,Avalanche Campground,Garmin GPS, ,20120917,Digitized,MVT,Johns Lake Tr Jct,Avalanche Lake Tr Jct,,,,T-056,Lake McDonald,6077,3.78,Yes,Avalanche Campground,,Avalanche Campground,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Garmin GPS,,,,46161,,{87A868B1-1702-45E2-9E92-A1C7575DB30E},,Yes,,{1E646808-482A-457D-A2EE-BD2477356D5D},0.066527592
43,1,62,4,Granite Park,2009 Border Imagery, ,20110812,Imagery,GPT,Granite Park CG Spur,,,,,T-062,Lake McDonald,551,0.34,Yes,Granite Park,,Granite Park,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,2009 Border Imagery,,,,46185,,{15554D26-B9BC-47E3-9543-9FE661F456FF},,Yes,,{6AC138B8-3C69-4791-B040-7AE541E391F1},0.005572669
44,1,62,5,Granite Park,2009 Border Imagery, ,20110812,Imagery,GPT,Highline Tr Jct (E),Highline Tr Jct (W),,,,T-062,Lake McDonald,720,0.45,Yes,Granite Park,,Granite Park,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,2009 Border Imagery,,,,46185,,{28686827-A5D4-4719-A0EA-BB4FF978B2AD},,Yes,,{F8B390BF-5C7B-4323-85BD-6CD153F839F8},0.009015136
45,1,67,4,South Boundary,DOQQ 1991, ,20040129,Imagery-old,SBTM,Harrison Creek Tr Jct,Loneman Lookout Tr Jct,,,,T-067,Walton-Two Medicine,6718,4.17,Yes,South Boundary,,South Boundary,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,DOQQ 1991,,,,46353,,{F4125966-09EA-42E6-925C-0CB31302E6AD},,Yes,,{BE3E1C18-2160-447B-857D-A09B999D5B7B},0.07471651
